Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.25 05:00:00,2_07248922379E-05
2024.08.25 06:00:00,2_06313634408E-05
2024.08.25 07:00:00,2_05462329177E-05
2024.08.25 08:00:00,2_04590833164E-05
2024.08.25 09:00:00,2_03292693186E-05
2024.08.25 10:00:00,2_01624898182E-05
2024.08.25 11:00:00,2_00381928153E-05
2024.08.25 12:00:00,1_99301557586E-05
2024.08.25 13:00:00,1_9822975446E-05
2024.08.25 14:00:00,1_97288627533E-05
2024.08.25 15:00:00,1_97039735212E-05
2024.08.25 16:00:00,1_9651834009E-05
2024.08.25 17:00:00,1_96231449081E-05
2024.08.25 18:00:00,1_96020901058E-05
2024.08.25 19:00:00,1_95662178157E-05
2024.08.25 20:00:00,1_95359443751E-05
2024.08.25 21:00:00,1_95001357497E-05
2024.08.25 22:00:00,1_94670810743E-05
2024.08.25 23:00:00,1_94432213902E-05
2024.08.26 00:00:00,1_94134772755E-05
2024.08.26 01:00:00,1_938782043E-05
2024.08.26 02:00:00,1_93516498257E-05
2024.08.26 03:00:00,1_93271844182E-05
2024.08.26 04:00:00,1_92997958948E-05
2024.08.26 05:00:00,1_92704956135E-05
2024.08.26 06:00:00,1_92443894775E-05
2024.08.26 07:00:00,1_91913859453E-05
2024.08.26 08:00:00,1_9094957679E-05
2024.08.26 09:00:00,1_89625443454E-05
2024.08.26 10:00:00,1_86852448678E-05
2024.08.26 11:00:00,1_83435149665E-05
2024.08.26 12:00:00,1_80964780157E-05
